date/time,settlement id ,type ,order id,Sku,description ,quantity,marketplace ,fulfillment,order city ,order state ,order postal ,product sales ,shipping credits ,promotional rebates ,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,selling fees ,fba fees ,other transaction fees ,other ,total 
13-May-2018 8:07:37 AM GMT+00:00,10140700102,"Refund
",408-1719309-5437113,LUFA,LOOFA PACK OF 10 PCS 100% NATURAL RIDGE GOURD FIBER LOOFAH,1,amazon.in,Merchant,NEW DELHI,DELHI,110051,-337.29,-55.08,0,-70.63,0,0,0,16.39,0,5.9,0,-440.71
14-May-2018 5:44:03 AM GMT+00:00,10140700102,"Shipping Services
",171-6924619-7305120,,Easy Ship weight handling fees,,Amazon.in,Merchant,,,,0,0,0,0,0,0,0,0,0,-53.1,0,-53.1
14-May-2018 5:44:06 AM GMT+00:00,10140700102,"Shipping Services
",408-1648387-8673140,,Easy Ship weight handling fees,,Amazon.in,Merchant,,,,0,0,0,0,0,0,0,0,0,-76.7,0,-76.7
14-May-2018 5:44:06 AM GMT+00:00,10140700102,"Shipping Services
",171-7307147-1889127,,Easy Ship weight handling fees,,Amazon.in,Merchant,,,,0,0,0,0,0,0,0,0,0,-53.1,0,-53.1
14-May-2018 5:44:52 AM GMT+00:00,10140700102,"Order
",171-6924619-7305120,DISPO61,"DISPOSABLE PANTY NON WOVEN PACK OF 10 PCS GOOD QUALITY USE AND THROW DISPOSABLE PANTY PACK OF 10 PCS IN WHITE COLOR FREE SIZE IDEAL FOR TRAVELLING,CAM",1,amazon.in,Merchant,New delhi,DELHI,110075,337.5,58.04,0,47.46,0,0,0,-67.96,0,-5.9,0,369.14
14-May-2018 5:45:02 AM GMT+00:00,10140700102,"Order
",171-7307147-1889127,LOOFA5,LOOFA (5 PCS) 100% NATURAL RIDGE GOURD FIBER LOOFAH PACK OF 5 PCS,1,amazon.in,Merchant,Ambala cantt,Haryana,133001,203.58,58.04,0,31.38,0,0,0,-10.37,0,-5.9,0,276.73
14-May-2018 5:45:06 AM GMT+00:00,10140700102,"Order
",408-1648387-8673140,DISPOC,"DISPOSABLE NON WOVEN PACK OF 10 PCS GOOD QUALITY USE AND THROW DISPOSABLE PANTY PACK OF 10 PCS IN WHITE COLOR FREE SIZE IDEAL FOR TRAVELLING,CAMPING,F",1,amazon.in,Merchant,Mumbai,MAHARASHTRA,400059,347.32,58.04,0,48.64,0,0,0,-69.64,0,-5.9,0,378.46
14-May-2018 6:50:43 AM GMT+00:00,10140700102,"Order
",407-6871632-3193969,SCRTR,"(PACK OF 2) GOOD QUALITY Sisam Wood solid Back Scratcher 15"" Long Self-Massage Back Scratcher",1,amazon.in,"Amazon
",INDORE,MADHYA PRADESH,452001,355.36,44.64,0,48,0,0,0,-32.87,-127.24,-23.6,0,264.29
14-May-2018 12:39:04 PM GMT+00:00,10140700102,"Order
",407-6870265-6100336,DISPO51,"PACK OF 10 PCS GOOD QUALITY USE AND THROW DISPOSABLE PANTY PACK OF 10 PCS IN WHITE COLOR FREE SIZE IDEAL FOR TRAVELLING,CAMPING,FITNESS,OLD AGE,HOSPIT",1,amazon.in,"Amazon
",MUMBAI,MAHARASHTRA,400026,418.75,44.64,0,55.61,0,0,0,-71.94,-121.34,-17.7,0,308.02
14-May-2018 1:34:22 PM GMT+00:00,10140700102,"Order
",402-2444153-4733962,AMANEEM-1,LOOFAH (PACK OF 10 PCS)100%NATURAL RIDGE GOURD ORGANIC FIBER,1,amazon.in,"Amazon
",NEW DELHI,DELHI,110019,338.39,44.64,0,45.97,0,0,0,-13.42,-84.76,-17.7,0,313.12
